a	một
terrific	tuyệt vời
terrified	đã sợ hãi
terrifying	đang đáng sợ
territory	lãnh thổ
terror	sự - khiếp sợ, khủng bố
terse	gọn
test	kiểm tra
testify	làm chứng
testimony	chứng
text	văn bản
than	hơn
thank	cảm ơn
Thank you	Cảm ơn bạn
that	mà, đó
that's	đó là
thaw	làm tan
thawed	đã tan băng
thawing	đang tan băng
the	cái/quả/quyển/người/con….
the other side	phía bên kia
theater	nhà hát
theft	trộm
their	của chúng/họ
theirs	của họ
them	chúng/họ
themselves	chính chúng nó/họ
then	sau đó
theology	thuyết thần học
theory	lý thuyết
there	đó
there are	có
there is	có
thereafter	sau khi
therefore	do đó
thermometer	nhiệt kế
these	những cái này
they	họ/chúng nó
they're	họ đang
thick	dày
thicket	chổ rậm rạp
thickness	độ dày
thief	kẻ trộm
thigh	đùi
thighs	những cái đùi
thin	mỏng, gầy
thing	cái điều, món
things	những - cái, điều, món
think	nghĩ
thinking	đang suy nghĩ
thinks	suy nghĩ
third	đứng thứ ba
thirst	khát
thirsting	khao khát
thirsty	khát
thirteen	mười ba
thirty	30
thirty-five	35
this	này, đây
thong	roi da; buộc bằng dây da
thorn	gai
thorough	tỉ mỉ
thoroughfare	đại lộ
those	những cái đó
though	tuy nhiên
thought	(đã) suy nghĩ; một ý nghĩ
thoughtless	không suy nghi
thousand	ngàn
thousands	hàng ngàn
thrash	đánh đòn
thrashing	đang đánh đòn
thread	chủ đề
threading	luồng, sợi
threat	mối đe dọa
threaten	đe dọa
threatened	đã bị đe dọa
threatening	đe dọa
threateningly	một cách đe dọa
three	3
threw	đã ném
thrice	ba lần
thrill	sự rộn ràng; rung động
thrilling	xúc động, hồi hộp, ly kỳ
throat	họng
throats	những cái cổ họng
throbbed	đã đập mạnh
throbbing	sự rộn ràng, đập mạnh, nhói
throne	ngôi vua
throttle	bóp cổ
through	xuyên qua
throughout	trong suốt
throw	ném
throwing	ném
thrown	đã ném
thrust	thọc
thrusting	đang đẩy mạnh
thumb	ngón tay cái
thumping	nện, đập mạnh
thunder	sấm sét
Thursday	Thứ Năm
thus	do đó
ticket	vé
ticket booth	gian hàng vé
tickling	bị làm cho buồn buồn
tidal	thủy triều
tide	thủy triều
tides	thủy triều
tide-water	nước thủy triều
tie	dây buộc
tiger	con hổ
tight	chặt chẽ
tightened	đã thắt chặt
tightening	thắt chặt
tightly	chặt chẽ
till	đến lúc
tilt	nghiêng
timber	gỗ làm nhà
time	thời gian
time-card	thẻ giờ
time-graven	dấu ấn thời gian
times	những lần
timid	nhút nhát
tin	thiếc
tingle	có cảm giác ngứa
tinkled	gỏ chuông
tip	chóp
tips	lời khuyên, tiền buộc/bo
tiptoe	nhón gót chân
tire	lốp
tired	mệt mỏi
tireless	chẳng quản khó nhọc
tissue	mô
tissues	những mô của cơ bắp
title	Tiêu đề
to	để (hành động)
toad	con cóc
today	hôm nay
toe	ngón chân
toe nail	móng chân
toenail	móng chân
toes	những ngón chân
together	cùng nhau
toil	vật lộn, làm việc cực nhọc
toiled	đã làm việc vất vả
toilet	nhà vệ sinh
token	mã thông báo
tokens	thẻ
told	nói với
tolerable	có thể chịu được
tolerated	dung nạp, chấp nhận
toll	số điện thoại
tomb	ngôi mộ
tombstone	chữ khắc
tom-fool	tên ngốc
tomorrow	ngày mai
ton	tấn
tone	âm điệu
tongue	lưỡi
tongues	những cái lưỡi
too	cũng vậy; quá
took	đã lấy
tool	công cụ
tools	công cụ
tooth	răng
tooth brush	bàn chải đánh răng
tooth paste	kem đánh răng
toothbrush	bàn chải đánh răng
toothless	không răng
toothpaste	kem đánh răng
top	trên đĩnh
top-heavy	nặng
topic	Chủ đề
topped	đã - đứng đầu, qua đầu
tops	những ngọn
torch	đèn pin
tore	xé
torment	nổi đau khổ
tormentor	kẻ hành hạ
tormentors	những kẻ hành hạ
torn	đã (xé)rách
tornado	bảo tố
torrent	dòng nước chảy xiết
tortoise	rùa
torture	tra tấn
toss	ném
tossed	ném
total	tổng cộng
tote	vận tải
totem-pole	cột gỗ cao, khắc hoặc vẽ một loạt các biểu tượng vật tổ
tottered	lung lay, sắp đổ; đi lảo đảo, chập chững
touch	chạm, sờ
touched	xúc động, chạm
touches	chạm
tough	dai
toughest	khó khăn nhất
tour	chuyến di lịch
toward	đối/đến với
towed	đã kéo
towel	khăn
town	thị trấn
toxin	độc tố
toy	đồ chơi
trace	theo dõi, lần - dấu vết
traces	những dấu vết (trên đường)
track	theo dõi
trade	thương mại
traded	giao dịch
tradition	truyền thống
traffic	giao thông
tragedy	thảm kịch
tragic	bi kịch
trail	tia, đường rầy, con đường nhỏ
trails	những con đường mòn
train	xe lửa
trained	đào tạo
trait	đặc điểm
traitor	kẻ phản bội
traits	đặc điểm
tramp	người đàn bà đĩ thõa
tramping	tàu không định kỳ; sự lẫn bẩn
trampled	đã giẫm xéo
transact	giao dịch
transfer	chuyển giao
transformation	chuyển đổi
transformed	đã chuyển đổi
transforming	đang chuyển đổi
transient	thoáng qua
transition	chuyển tiếp
transitional period	thời kỳ quá độ
translate	dịch
translator	biên dịch viên
transmit	truyền
transparent	rõ rệt
transport	vận chuyển
transportation	giao thông vận tải
trap	bẫy
traps	bẫy
travail	công việc cực khổ
travel	đi du lịch
travelled	đã đi du lịch
travellers	du khách
travelling	đang đi du lịch
treacherous	phản bội
treacherously	một cách phản bội
treachery	sự phản bội
treason	phản quốc
treasure	kho báu
treat	đối xử, điều trị
treated	đã - đối xử, điều trị
treatment	sự - đối xử, điều trị
treaty	hiệp ước
tree	cây
trees	những cái cây
treetops	ngọn cây
tremble	run lên
trembled	đã run rẩy
trembling	đang run rẩy
tremendous	kinh hai
trench	mương
trespass	vi phạm
trespasser	kẻ - xâm phạm nơi cấm vào
trial	thử nghiệm
triangle	hình tam giác
tribe	bộ lạc
tribesmen	bộ lạc
trice	(nhanh) nháy mắt
trick	lừa
tricked	bị lừa
trickle	tia nước
trickling	nhỏ giọt
tricks	những thủ thuật
tricycle	xe ba bánh
tried	đã cố gắng
trifle	chơi giởn
trim	tỉa
trip	chuyến đi
triple	ba
tripped	vấp
triumph	chiến thắng
triumphantly	một cách đắc thắng
trot	chạy nước kiệu
trotted	đã - đi nước kiệu, lon ton
trouble	rắc rối
trouncing	đang - hạ ván, đè bẹp
trouser	quần
truce	sự hưu chiến
truck	xe tải
trucked	đã chở bằng xe tải
true	đúng, sự thật
truly	một cách - thực sự, thành thật
trunk	thân cây
trunks	thân
trust	tin tưởng
truth	sự thật
try	thử, cố gắng
trying	cố gắng
tub	bồn tắm
tuckered	tuckered
Tuesday	Thứ Ba
tug	kéo mạnh
tuition	học phí
tumble	ngã bất thình lình
tumbled	đã - giảm, té nhào
tuna	cá ngừ
tune	điều chỉnh
turn	xoay
turned	đã quay
tutor	gia sư
twelfth	thứ mười hai
twelve	12
twentieth	hai mươi
twenty	hai mươi
twenty-five	25
twice	hai lần
twilight	hoàng hôn
twist	xoắn
twisted	đã xoắn
twitching	co giật
two	2
type	loại
typical	điển hình
ugly	xấu xí
ulcer	loét
ultimate	tột cùng
ultimately	sau cùng, cuối cùng
umbrella	ô
umpire	trọng tài
unable	không thể
unaffected	đã không bị ảnh hưởng
unafraid	không sợ
unaided	không được giúp đở
unaltered	đã không thay đổi
unapproachable	không bì được
unaware	không biết
unbreakable	không thể phá vỡ
unbridled	không cương
unbroken	nguyên, không bị gãy/bể
unbuilt	chưa xây
uncanny	kỳ lạ
uncharted	chưa thám hiểm
uncle	chú, cậu, bác trai
uncles	chú bác
uncoiled	gỡ từ cuộn
unconcern	vô tư lự
unconscious	bất tỉnh
unconsciously	một cách - bất tỉnh/vô ý/không suy nghĩ
uncontent	không hạnh phúc
uncouth	thô kệch; chưa văn minh
uncowed	đã không nao núng
under	dưới
underbrush	bụi rậm
underfeeding	thiếu dinh dưỡng
underfoot	ở dưới bàn chân
undergrowth	bụi rậm
underhand	ám muội, dưới tay
underneath	bên dưới
understand	hiểu
understand?	hiểu không?
understanding	sự hiểu biết
understood	hiểu
undertake	đảm nhận
undervalued	đã bị đánh giá thấp
underwear	đồ lót
undesirable	thiếu hấp dẫn
undid	đã gỡ lại
undreamed	không mơ
undress	trần truồng
unduly	một cách không đúng luật
unearthed	đã khai quật
uneasily	không dễ nắm bắt
unending	đang không dứt
unendurable	không chịu nổi
uneven	không đồng đều
unexpected	đã bất ngờ
unfair	bất công
unfastened	đã tháo ra
unfed	bỏ đói
unfinished	đã chưa xong
unfit	không thích hợp
unforgetable	khó quên
unforgettable	không thể nào quên
unhappy	không vui
unheeded	đã không ai để ý đến
unhesitatingly	không nhứt định
unhitched	tháo ra
unidentified	không xác định
uniform	đồng đều
unify	thống nhất
union	công đoàn
unique	độc đáo
unison	nhất trí
unite	đoàn kết
universal	luật chung, thuộc vũ trụ/vạn vật
university	đại học
unjust	bất công
unkempt	không chải chuốt
unknown	chưa ai biết đến, vô danh
unlike	không giống như
unloaded	bốc dỡ
unlucky	không may
unmistakable	dể nhận ra
unmolested	đã không quấy rầy
unnumbered	đã không có đếm
unpacked	giải nén
unpleasant	khó chịu
unpleasantly	khó chịu
unpursued	đã không theo đuổi
unresisting	đang ngưng chống cự
unrest	lo âu, phập phồng, náo loạn
unrested	unrested
unruly	một cách ngổ nghịch
unseen	không nhìn thấy
unsuspected	đã không nghi ngờ
unswerving	đang khó lay chuyển
until	cho đến khi
unto	đến (ai)/(cái gì)
untold	vô hạn
untouched	đã không bị - ảnh hưởng, chạm
untreated	không được điều trị
unusual	bất thường
unusually	một cách bất thường
unutterable	không thể tả được
unuttered	bặt tiếng
unwashed	không có tắm rửa
unwieldy	chậm chạp
unwilling	đang không muốn
unwillingly	miễn cưỡng
unwittingly	một cách vô tình
unwonted	không mong muốn
up	lên
update	cập nhật
uphold	phát huy
upon	trên
upper	trên
uppermost	quan trọng hơn hết
upright	thẳng đứng
uprise	mọc
uproar	tiếng huyên náo
uproariously	một cách huyên náo
upset	buồn
upstanding	không thay đổi
upward	trở lên
urgent	khẩn cấp
urinary	chất thải
urology	khoa tiết niệu
us	chúng tôi/ta
use	sử dụng
used	sử dụng
useful	hữu ích
useless	vô ích
usher	người chỉ chỗ
usual	thông thường
usurp	chiếm đoạt
utensils	những đồ dùng
utility	tiện dụng
utter	hoàn toàn
uttered	đã thốt ra
uttering	thốt lên
utterly	một cách hoàn toàn
vacant	trống
vacant lot	lô trống
vacant seat	ghế trống
vacation	kỳ nghỉ
vague	mơ hồ
vaguely	mơ hồ
vain	vô hiệu, vô ích; rỗng tuếch, phù phiếm
vainly	tự phụ
valid	hợp lệ
valley	thung lũng
valleys	thung lũng
valor	lòng can đảm
value	giá trị
vanish	biến mất
vanity	tính kiêu căng
vapor	hơi
variable	thay đổi
variety	nhiều
various	khác nhau
vary	thay đổi
varying	khác nhau
vase	lọ
vast	bao la
vastness	tính mênh mông
vaunt	nhảy qua
veered	đổi hướng
vegetable	rau
vegetarian	ăn chay
vehicle	xe
veil	mạng che mặt
vein	tĩnh mạch
veins	những tĩnh mạch
velocity	vận tốc
vend	bán
vender	người bán hàng
venegeance	sự trả thù
venom	nọc độc
vent	lỗ thông hơi
venture	kinh doanh
ventured	đã mạo hiểm
veranda	hiên, hè
verbal	bằng lời nói
verdict	bản án
verify	xác minh
versatile	linh hoạt
vertical	thẳng đứng
very	rất
vest	áo khoác
veteran	kỳ cựu
veterinarian	bác sĩ thú y
vexation	sự làm bực mình, sự làm phật ý
vibrant	sôi động
vibrate	rung lên
vicarious	được uỷ nhiệm; làm thay người khác
vice president	phó giám đốc
vicious	xấu xa
victim	nạn nhân
victor	người chiến thắng
victory	chiến thắng
victual	cung cấp lương thực
view	xem, cảnh
views	quang cảnh
vigil	sự thức đêm
vigilant	cảnh giác
vigils	sự thức đêm; buổi cầu nguyện
vigor	nghị lực
vigorous	mạnh mẽ
vigorously	mạnh mẽ
vile	đê tiện
village	làng
villain	vai phản diện
vine-clad	nho phủ
vines	cây nho
violate	vi phạm
violently	bạo lực
virgin	còn mới nguyên
virility	sự nghị lực
virtue	đức tính, đạo đức; tư cách
visible	có thể nhìn thấy
vision	tầm nhìn
visions	tầm nhìn
visit	thăm
visitor	người truy cập
vital	sức sống; quan trọng
vitality	sức sống
vitamin	vi ta min
vivid	sinh động
vocabulary	từ vựng
vocal	đoạn xướng âm
voice	giọng nói
voiced	đã lên tiếng
voices	tiếng nói
void	làm mất hiệu lực
volatile	bay hơi
volcano	núi lửa
volcanoes	những núi lửa
volleyball	bóng chuyền
volume	khối lượng
voluntary	tự nguyện
volunteer	tình nguyện viên
vomit	nôn
voracious	tham ăn
vote	bỏ phiếu
vow	thề
vowel	nguyên âm
vulnerable	dễ bị làm hại
wage	tiền lương
wager	sự cá độ
wages	các tiền lương
wagged	đã ve vẩy
wagon	xe kéo
wailing	đang - than van, kêu khóc
wailings	những sự - than van, kêu khóc
waist	eo
wait	chờ đợi
waited	đã chờ đợi
waiting	chờ đợi
waive	từ bỏ
wake	đánh thức
waking	đang tỉnh dậy
walk	đi bộ
walked	đi
wall	tường
wallet	ví tiền
wallpaper	hình nền
walls	những bức tường
walnut	cây óc chó
wan	mệt mỏi
wander	đi lang thang
wandered	đã đi lang thang
wandering	lang thang
want	muốn
wanted	đã muốn
wantonness	sự nô đùa
war	chiến tranh
ward	phường
warehouse	kho hàng
warily	một cách thận trọng
warm	ấm áp
war-mad	điên máu chiến tranh 
warmed	đã ấm lên
warmer	ấm hơn
warmly	một cách nồng nhiệt
warn	cảnh báo
warning	đang cảnh báo
warrant	bảo đảm
warranty	bảo hành
wart	mụn có
wary	cảnh giác
was	đã là
wash	rửa
washed	rửa
washer	máy giặt
washes	rửa
washing	rửa
washing-pan	chảo dùng để rửa
waste	lãng phí
wastebasket	thùng rác
wasted	lãng phí
wasteland	đất hoang
watch	xem
watchdog	tổ chức giám sát
watched	đã xem
watchful	cẩn thận
watching	đang xem
watchman	nhân viên bảo vệ
watchword	khẩu hiệu
water	nước
watercourses	nguồn nước
waterfall	thác nước
waterfront	bến tàu
watering	sự dợn sóng
watermelon	dưa hấu
waterproof	không thấm nước
watershed	đường phân nước
waterway	kênh
watery	nhiều nước
watt	oát
wave	sóng
wavelength	bước sóng
waves	sóng
waving	đang vẫy tay chào
wax	sáp
waxed	đã đánh sáp
waxwork	tượng sáp
way	cách, đường
wayfarers	người đi bộ đi du lịch
ways	những cách
wayside	lề đường
we	chúng tôi
weak	yếu
weaken	làm yếu đi
weaker	yếu
weakly	suy nhược
weakness	điểm yếu
wealth	sự giàu có
wealthy	giàu có
weapon	vũ khí
wear	mặc
wearing	mặc
wearisome	chán ngắt
weary	mệt mỏi
wearying	mệt mỏi
weasel	con chồn
weather	thời tiết
weave	dệt
weazened	đã khô xác, nhăn nheo
web	mạng
webbed	đã màng
Weber	vê be
wed	cưới
wedge	mũi nhọn
wedges	nêm
Wednesday	Thứ Tư
weed	cỏ dại
weedy	um tùm cỏ dại
week	tuần
weekday	ngày trong tuần
weekend	cuối tuần
weeks	tuần
week's	của tuần
weeping	khóc vì tức
weigh	cân
weighed	đã cân nặng
weight	trọng lượng
weighty	quan trọng
weir	đập nước
weird	lạ
welcome	chào mừng
weld	mối hàn
welfare	phúc lợi
well	tốt; giếng nước
we'll	chúng tôi sẽ
went	đã đi
wept	đã khóc
were	đã là
west	hướng tây
westerly	hướng tây
western	phía tây
wet	đã ướt
we've	chúng tôi đã
whale	cá ông
whaling	đánh cá ông
wharf	cầu tàu
what	cái gì
whatever	bất cứ điều gì
what's	những gì
wheat	lúa mì
wheedlingly	một cách - vòi khéo, dỗ ngọt
wheel	bánh xe
wheelchair	xe lăn
wheel-dog	con chó gần bánh xe
wheeler	kẻ lái xe
when	khi
whenever	bất cứ khi nào
where	đâu
whereat	nơi
wherefore	tại sao
wherein	trong đó
whereupon	trên ấy
wherever	bất cứ nơi nào
whether	liệu, dù
which	mà, cái nào
whichever	tùy theo điều kiện nào
whiff	hơi rượu
while	trong khi
whim	không chừng
whimpered	đã rên rỉ
whimpering	rên rỉ
whine	than thở
whined	đã rên rỉ
whining	đang rên rỉ
whip	roi da
whipped	quất
whipping	đang quất roi
