Term	Definition
mớ	cot; to talk in one's sleep
mờ	blur, blurry
mỡ	fat; grease
mộ	grave
mở	open
mợ	aunt (wife of mother's younger brother)
mơ 	dream, apricot (fruit)
mớ 	a bunch of, sleep talking
mồ côi	orphan
mô của cơ bắp	tissue
mở đầu	prelude
mở hé	ajar
mô hình	pattern
mơ hồ	vague
mơ hồ 	vague
mò mẫm	grope
mờ mịt	dreamy
mơ mộng	daydream
mỏ neo	anchor
mờ nhạt	faint
mờ nhạt nhất	faintest
mô phỏng	simulate
mở ra	open
mở rộng	open wide, broaden, expand, extend
mô tả	descriptive, describe, description
móc	hook; crotchet; clasp
mốc	landmark
mọc	uprise
mộc	acoustic
môi	lip
mối	termite
mồi	bait
mỗi	every, each
mỏi	weary, tired
mọi	all; every
mới	new, just(happen)
mời	invite
mỏi 	weary
mọi 	all
mới 	new, just (action)
mối ác cảm	grudge
mới bắt đầu	just begin
mối đe dọa	threat
môi giới	brokerage, broker
mối hàn	weld
mối lo âu	anxiety
mỏi mòn	worn-out
mới nên	right thing
mối nguy	hazard
mối nguy hại	mischief
mới nhất	last
mối nối	junction
mối quan hệ	relationship
môi trường	environment, surrounding factors
mới vừa	just (happen)
mõm	snout; muzzle
mồm	mouth
mồm đọc	read mouth
món	item
mòn	to wear
môn	band, gang, elique
mọn	tiny, very small
món ăn	dish
môn đồ	disciple
món nợ	debt
món tráng miệng	dessert
mong	hope
móng	nail
mông	buttock
mỏng	slim, thin
mong 	hope
mộng 	a dream
móng chân	toe nail
mong đợi	expect
mong manh nhất	most fragile
mong muốn	desire
mốt	mode
mọt	wood-borer; woodeater
một	a, one 
một cách	in a (adjective) way; adverb
một cách ác ôn	grimly
một cách an toàn	securely, safely
một cách an ủi	appeasingly
một cách bằng nhau	equally
một cách bất thường	unusually
một cách bí mật	secretly
một cách bình tĩnh	calmly
một cách bộc trực	plainly, directly
một cách buồn bã	sullenly
một cách cấm tuyệt	forbiddingly
một cách can đảm	bravely
mọt cách cẩn thận	gingerly, carefully
một cách cần thiết	necessarily
một cách cảnh giác	keenly
một cách cao	highly
một cách chắc chắn	securely, solidly
một cách cô đơn	lonely
một cách cố ý	deliberately
một cách công khai	openly
một cách đặc biệt	particularly, specially
một cách đắc thắng	triumphantly
một cách đau đớn	painfully
một cách đầy đủ	fully
một cách dễ dàng	easily
một cách đe dọa	menacingly
một cách đè nén	suppressedly
một cách đê tiện	despicably
một cách đều đặn	steadily, consistently
một cách điên cuồng	madly
một cách đơn giản	simply
một cách đột ngột	suddenly
một cách đứng đắn	seriously
một cách ê chề	sorely
một cách e thẹn	sheepishly
một cách giận dữ	furiously
một cách hân hoan	joyfully, gleefully
một cách háo hức	eagerly
một cách hào hứng	excitedly
một cách hào phóng	generously
một cách hấp dẫn	appealingly, attractively
một cách hiểm ác	wickedly
một cách hiếm hoi	rarely
một cách hoàn toàn	completely
một cách huyên náo	uproariously
một cách khôn ngoan, tính toán	shrewdly
một cách không thương tiếc	mercilessly
một cách khủng khiếp	horribly
một cách kiên cố	fortified solidly
một cách kiên quyết	resolutely
một cách kín đáo	slyly
một cách kinh khủng	frightfully
một cách kịp thời	promptly
một cách lạ lùng	strangely
một cách lạnh lùng	coldly
một cách lặp đi lặp lại	repeatedly
một cách liên tục	constantly, continually
một cách lờ mờ	dimly, shadily
một cách lỏng lẻo	loosely
một cách ma quái	ghostly
một cách man rợ	savagely
một cách mãnh liệt	crushingly
một cách mạnh mẽ	mightily
một cách mau lẹ	speedily
một cách mềm mại	softly
một cách miễn cưỡng	involuntarily
một cách mịn	finely
một cách nặng nề	heavily
một cách ngay thẳng	plainly, directly
một cách nghi ngờ	dubiously
một cách nghiêm trọng	gravely
một cách ngố nghịch	unruly
một cách ngoan ngoãn	docilely
một cách nhân nhượng	appeasingly
một cách nhanh chóng	rapidly, swiftly
một cách nhẹ nhàng	gently
một cách nhiệt tình	enthusiastically
một cách nhục nhã	shamefully
một cách nồng nhiệt	warmly
một cách ốn định	steadily, settled
một cách phản bội	treacherously
một cách phấn khởi	exultantly
một cách placatingly	placatingly
một cách quyết liệt	fiercely
một cách sắc bén	sharply
một cách sang trọng	luxuriously
một cách suất xắc	remarkably
một cách tàn ác	savagely
một cách thân thiện	friendly
một cách thận trọng	warily, cautiously
một cách thành thật	truly, sincerely
một cách thiếu suy nghĩ	thoughtlessly
một cách thoải mái	comfortably
một cách thường xuyên	frequently
một cách tinh khôn	cunningly
một cách tính toán	in a calculating way
một cách tinh xảo	craftily
một cách to lớn	greatly
một cách tò mò	curiously
một cách tròn trặn	roundly
một cách trực tiếp	directly
một cách trung thành	faithfully
một cách trung thực	honestly
một cách tự nhiên	instinctively
một cách tự tin	confidently
một cách từ từ	slowly
một cách từ xa	remotely
một cách tương đối	comparatively
một cách ung dung	coolly
một cách vô ích	futilely
một cách vô tình	unwittingly, heartlessly
một cách vô vọng	abjectly, hopelessly
một cách vô ý	accidentally
một cách vu vơ	aimlessly
một cách vuông vắn	squarely
một cách xuất sắc	preeminently
một cách xứng đáng	worthily
một cách yếu ớt	weakly
một cái gì đó	something
một chút	a bit
một gia tộc	a family
một hàng	a row
một hôm	one day
một lần	one time, once
một lần nữa	again
một loại dâu	berry
một lớp	a class
một mình	alone, oneself
một nửa	half
một phần	part
một số	several, some
một tá	dozen
một vài	some
một vài nơi	a few places
mù	blind
mũ	hat; cap; bonnet
mủ	mother
mù 	blind
mù tạt	mustard
mua	purchase, buy
mùa	season
mưa	rain
mùa đông	winter, wintry
mưa rào	downpour
mùa thu	autumn
mưa tuyết	sleet
mùa xuân	spring season
múc	scoop, ladle soup out into bowls
mục	section
mực	squid
mục 	an article section, to rot(wood, bone...)
mục đích	purpose, aim
mục nát	corrupt
mục rữa	decay
mục sư	pastor
mục tiêu	target, objective
mùi	odor, smell
mũi	nasal, nose
mũi đất	cape
mũi nhọn	wedge
mùi tanh	fishy smell
mũi tên	dart, arrow
mũm mĩm	chubby
mụn có	wart
mụn trứng cá	acne
mừng	to rejoyce; to congratulate
mừng 	greet
muối	salt
muỗi	mosquito
mươi	(denoting the tens)
mười	ten
mười 	ten
mười ba	thirteen
mười bảy	seventeen
mười bốn	fourteen
mười chín	nineteen
mười hai	twelve
mười năm một lần	decennial
mười sáu	sixteen
muôn	ten thousand
muốn	want
muộn	tardy, late
mướn	to hire; to rent
mượn	to borrow
mương	trench
mụt	boil
mứt	jam, sugar-coated fruit, sugar - preserved fruit
mưu	scheme; plot; conspiracy
Mỹ	America
mỹ thuật	art
na	to tole; to bring
na ná	akin, alike
nạc	lean meat
nách	armpit
nai	deer
nài	to mind
nài xin	plead
nam	male
năm	5, year
nấm	mushroom
nắm	grip, squeeze
nằm	lay
nắm bắt	seize, grasp
nam châm	magnet
nắm chặt	grip
Nam cực	antarctic
nắm đấm	fist
nam diễn viên	actor
năm mươi	fifty
nằm sóng soài	lying flat motionless
nắm tay	fist
nam tuwocs	baronial
nan	difficult
nắn	to mould; to model; to set
nạn	danger; calamity; disaster
nạn 	crisis
nạn đói	famine
nạn nhân	victim
nắn nót 	tedious care
nang	(anat) follicle; follicule
nàng	she; her 
nâng	to raise
năng	frequently, often, many a time
nắng	sunshine
nặng	heavy
nâng 	elevate
năng 	frequent, often
nắng ấm	sun-kissed
nâng cao	raise
năng động	active
nâng lên	elevate
nâng lên 	raise to
nặng nề	burdensome
năng suất	capacity, yield
nanh	fang, canine
nào	which, uncertain 
não	brain
nạo	to scrape; to clean; to clean out
náo loạn	chaos
nào?	which?
nắp	lid
nát	crushed
nát 	crushed
nâu	brown
nấu	cooking
nấu ăn	cook, cuisine
nấu chậm	brewing
nâu đốm	brindle
nấu sôi	simmer
nay	now; at present; at this time
này	this
nãy	just ago
nấy	that [person]; that [thing]
nầy	this (same as: này)
nảy	bouncing
nay 	this
này đây	hey this
né	dodge
nê	flimsy pretext
nề	smooth (mortar)
nẻ	cracked; chapped; choppy
nể	to respect;to have sonsideration for
né tránh	dodge
ném	pitch, throw, cast, toss
nén	compress
nên	should
nến	candle
nền	background
nến 	candle
nền 	background, floor
nền kinh tế	economy
nền tảng	basis
nền văn minh	civilization
nẻo	way; direction
nép	to crouch
nếp	fold, crease
nếp nhăn	wrinkle, crease
nét	stroke; line (of pen); line
nết	habit, behaviour
nét 	stroke
nết na 	proper and sweet
nếu	if
nêu 	stated
nếu không	otherwise
ngã	to fall; to tumble down
ngả	way; direction
ngã 	fall
ngả 	lean
ngã bất thình lình	tumble
ngắc	get stuck, get held up
ngài	bombycid moth
ngâm	soak
ngăm	tawny complexion
ngầm	secret, underground ; tacit
ngắm	to contemplate;to look at admire oneself
ngăm 	dark complexion
ngấm 	slowly feeling the effect, water soaking effect
ngầm 	underground, hidden
ngắm 	watch
ngấm ngầm 	implicit, hidden
ngàn	thousand
ngăn	compartment
ngắn	short
ngẩn 	silly, dumbfound
ngăn cản	discourage
ngăn chặn	halt, prevent, deter
ngắn gọn	brief, concise
ngân hàng	bank
ngắn hơn	shorter
ngăn kéo	drawer
ngần ngại	hesitate
ngạn ngữ	adage, proverb
ngân sách	budget
ngang	horizontal
ngẩng	lift, raise (neck, head, face); (look up: ngửng)
ngẩng 	lift/raised look
ngang ngạnh	defiant
ngang qua	across
ngạnh	barb
ngành công nghiệp	industry
ngành hàng không vũ trụ	aerospace
ngạo	to scoff; to laugh at
ngáp	yawn
ngập	flooded; submerged; inundated
ngáp 	yawn
ngập 	flooding, overflow
ngất	faint, swoon, become onconscious
ngắt	disruption
ngặt	strict, stringent, rigorous
ngấu nghiến	devour
ngẫu nhiên	random
ngay	direct; straight
ngáy	snore
ngày	day 
ngay bây giờ	right now
ngay cả	even
ngày chủ nhật	Sunday
ngày hội	carnival
ngay lại 	right back
ngay lập tức	right away, immediate
ngày mai	tomorrow
ngày nay	nowadays
ngay ngắn	neatly
ngây ngất	ecstasy, euphoria, seventh heaven
ngay sát	adjacent
ngày sinh nhật	birthday
ngay thẳng	straight
ngày tháng	date
ngây thơ	naive, innocent
ngày trong tuần	weekday
nghe	listen, hear
nghề	work; craft; occupation; profession; business; trade
nghệ	(bot) saffron; croeus
nghe lỏm	eavesdrop
nghề nghiệp	occupation
nghe rõ	audible
nghệ sĩ	artist
nghề thủ công	craft
nghệ thuật	artistic, art
nghệ thuật cắt dán	collage
nghe trộm	eavesdrop, bugging
nghênh	look round, look about one
nghèo	poor
nghèo đói	poverty
nghèo hơn	poorer
nghẹt thở	choke
nghi	to doubt; to suspect
nghĩ	thought, think
nghỉ	to rest; to repose; to take a rest
nghỉ 	rest
nghỉ giải lao	recess
nghi ngờ	doubt
nghĩ ngợi	think, ponder, lost in thought
nghỉ ngơi 	rest
nghĩ ra	devise
nghi thức	ceremonial
nghĩa	dense; meaning; impont
nghĩa 	means; a bond
nghĩa là	means
nghĩa trang	cemetery
nghĩa vụ	obligation
nghịch	contrary; opposite; reverse
nghịch lý	paradox
nghịch từ	diamagnetic
nghiêm	strict; grave; stern
nghiêm 	serious, strict
nghiệm 	mentally verify base on experience
nghiêm khắc	stern
nghiêm ngặt	rigorous
nghiêm trọng	serious, grave, severe
nghiến	grinding
nghiện	addict
nghiền 	crushed
nghiên cứu	research
nghiên cứu sâu	delve
nghiện rượu	alcoholism
nghiêng	tilt
nghiêng về	prone
nghiệp	fate
nghiệt	too severe, too strict
nghiệt ngã	grim
nghìn	thousand
nghịt	dense, deep
ngìn	thousand
ngo	dainty
ngó	to see; to look at
ngô	corn
ngõ	gate; alley
ngơ	ignore, overlook, let pass, connive
ngọ	midday, zodiac year of the horse
ngờ	to suspect; to doubt
ngỡ	to think; to believe, thought to be…
ngộ	queer, unique
ngó 	look
ngớ 	stupid(fy)
ngớ ngẩn	silly
ngớ ngẩn 	silly, nonsense
ngố nghịch	insubordination
ngoa	sharp-tongue
ngoa 	exaggerate
ngoài	besides, beyond
ngoại	foreign
ngoại giao	diplomatic
ngoại lệ	exception
Ngoài ra	addition
ngoại tình	adultery
ngoài trời	outdoor
ngoại trừ	without, except
ngoan	good; well-behaved
ngoan 	good, obedient
ngoảnh	turn one's head, turn round
ngọc	pearl; gem; precious stone
ngốc nghếch	silly
ngọc trai	pearl
ngoe nguẩy 	wagging
ngói	tile
ngòi	canal; arroyo, primer; fuse; match
ngôi	throne
ngồi	sit
ngơi	knock off
ngồi 	sit
ngợi 	praise
ngôi mộ	tomb
ngôi sao	star
ngôi vua	throne
ngon	savory, delectable, delicious
ngón	finger, toe
ngôn	language, speak (nói)
ngốn	gobble, cram, bolt
ngọn	top
ngốn 	hog, gobble mouthful
ngọn 	tops, peak
ngón áp út	ring finger
ngón chân	toe
ngón giữa	middle finger
ngọn hải đăng	light house
ngọn lửa	fire, flame, blaze
ngon miệng	delicious
ngọn nến	candle
ngôn ngữ	language
ngọn núi	alp
ngôn sứ	prophet, messenger
ngón tay	finger
ngón tay cái	thumb
ngón tay trỏ	index finger
ngón tay út	little pinky finger
ngỗng	goose
ngọt	sweet
ngớt	abate, subside, cease
ngu	stupid; foolish; doltish
ngủ	sleep
ngụ	to live; to dwell
ngữ	measure, limit, moderation
ngự	be seated in a stately way
ngu đần	dull
ngư dân	fisherman
ngủ đông	dormant
ngủ gà ngủ gật	doze
ngữ pháp	grammar
ngu si	dense
ngủ trưa	nap
ngứa	itch
ngửa	with face upward, on one's back
ngựa	horse
ngựa con	colt
ngựa vằn	zebra
nguẩy 	wagging
ngục	prison; jail; gaol
ngực	bust, chest
nguệch ngoạc	scribble
ngửi	sniff
ngửi 	smell
ngưng	stop
ngừng	desist, stop
ngừng lại	stop, halt
ngược	upside down
ngược 	back, against the flow
ngược dòng	upstream
ngược lại	reverse, on the other hand
nguội	cool
ngươi	thou, thee
người	person, people (unique classifier for people)
người ăn	eater
người ăn trộm	burglar
người bạn	amigo
người bạn đường	companion
người bán hàng	vender
người bán thịt	butcher
người bản xứ	aborigine
người báng bố	desecrater
người bảo trợ	patron
người bảo vệ	guard
người bắt cóc	kidnapper
người bị kiện	defendant
người bị thương	casualty
người bị trục xuất	deportee
người cá	mermaid
người cai trị	ruler
người cha	father
người chậm chạp	slouch
người chăn cừu	shepherd
người chơi	player
người chuyên quyền	autocrat
người con	the child
người con trai	son
người đã chết	decedent
người đàn bà	the woman
người đàn ông	the man
người đi bộ	pedestrian
người đi kèm	chaperon
người điên	maniac
người đưa thư	mailman, courier
người đưa tin	messenger
người giúp đỡ	helper
người giúp việc	maid, assistant
người gửi tiền	depositor
người Hàn Quốc	Korean
người hầu	servants, butler
người hiến	donor
người khác	other people
người lạ	stranger
người lái xe chó	dog-driver
người làm việc thiện	benefactor, philanthropist
người làm vườn	gardener
người lãnh đạo	leader
người lớn	adult
người mắc bệnh 	person who is sick (with)
người mắc chứng	person who has symtoms of
người mới đến	newcomer
người nắn bóp	chiropractor
người nhận	addressee
người nội trợ	housewife
người ở	housemaids
người phối ngẫu	spouse
người phụ giúp	helper
người phục vụ	attendant
người phục vụ quầy rượu	bartender
người quản gia	housekeeper
người quen	acquaintance
người quyền cao	dignitary
người ta	people
người thắng cuộc	winner
người thuê nhà	tenant
người trong họ 	people in the family line
người xem	onlooker, spectator
người yêu	lover
người yêu nước	patriot
người 	man; person; people; individual
nguồn	source
nguồn gốc	origin
ngưỡng	threshold
ngượng 	embarrassed
ngưỡng mộ	admire, adore
